Continent,Region,Country,Value,Type,Year_
Europe,European Union (EU),Estonia,36.0,Imports,2016
Europe,European Union (EU),Finland,226.0,Imports,2016
Europe,European Union (EU),France,4392.0,Imports,2016
Europe,European Union (EU),Germany,6395.0,Imports,2016
Europe,European Union (EU),Greece,106.0,Imports,2016
Europe,European Union (EU),Hungary,183.0,Imports,2016
Europe,European Union (EU),Ireland,4736.0,Imports,2016
Europe,European Union (EU),Italy,1664.0,Imports,2016
Europe,European Union (EU),Latvia,30.0,Imports,2016
Europe,European Union (EU),Lithuania,41.0,Imports,2016
Europe,European Union (EU),Luxembourg,2078.0,Imports,2016
Europe,European Union (EU),Malta,153.0,Imports,2016
Europe,European Union (EU),Netherlands,3751.0,Imports,2016
Europe,European Union (EU),Poland,759.0,Imports,2016
Europe,European Union (EU),Portugal,242.0,Imports,2016
Europe,European Union (EU),Romania,217.0,Imports,2016
Europe,European Union (EU),Slovakia,79.0,Imports,2016
Europe,European Union (EU),Slovenia,22.0,Imports,2016
Europe,European Union (EU),Spain,1362.0,Imports,2016
Europe,European Union (EU),Sweden,1482.0,Imports,2016
Europe,European Free Trade Association (EFTA),Iceland,47.0,Imports,2016
Europe,European Free Trade Association (EFTA),Liechtenstein,39.0,Imports,2016
Europe,European Free Trade Association (EFTA),Norway,559.0,Imports,2016
Europe,European Free Trade Association (EFTA),Switzerland,2480.0,Imports,2016
Europe,Other Europe,Russia,304.0,Imports,2016
Europe,Other Europe,Isle Of Man,40.0,Imports,2016
Europe,Other Europe,Turkey,198.0,Imports,2016
Europe,Other Europe,Rest Of Europe,292.0,Imports,2016
Europe,Other Europe,Europe Unallocated,1580.0,Imports,2016
America,America,Brazil,220.0,Imports,2016
America,America,Canada,707.0,Imports,2016
America,America,Mexico,82.0,Imports,2016
America,America,USA,16734.0,Imports,2016
America,America,Rest Of America,808.0,Imports,2016
America,America,America Unallocated,100.0,Imports,2016
Asia,Asia,China,832.0,Imports,2016
Asia,Asia,Hong Kong,854.0,Imports,2016
Asia,Asia,India,2066.0,Imports,2016
Asia,Asia,Indonesia,63.0,Imports,2016
Asia,Asia,Israel,279.0,Imports,2016
Asia,Asia,Japan,2443.0,Imports,2016
Asia,Asia,Malaysia,335.0,Imports,2016
Asia,Asia,Pakistan,35.0,Imports,2016
