Continent,Region,Country,Value,Type,Year_
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,69.0,Exports,2016
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,2.0,Exports,2016
Africa,Africa,Nigeria,397.0,Exports,2016
Africa,Africa,South Africa,1111.0,Exports,2016
Africa,Africa,Rest Of Africa,3242.0,Exports,2016
Africa,Africa,Africa Unallocated,220.0,Exports,2016
Europe,European Union (EU),Austria,887.0,Exports,2017
Europe,European Union (EU),Belgium,3292.0,Exports,2017
Europe,European Union (EU),Bulgaria,132.0,Exports,2017
Europe,European Union (EU),Croatia,133.0,Exports,2017
Europe,European Union (EU),Cyprus,435.0,Exports,2017
Europe,European Union (EU),Czechia,507.0,Exports,2017
Europe,European Union (EU),Denmark,2046.0,Exports,2017
Europe,European Union (EU),Estonia,47.0,Exports,2017
Europe,European Union (EU),Finland,726.0,Exports,2017
Europe,European Union (EU),France,7242.0,Exports,2017
Europe,European Union (EU),Germany,10741.0,Exports,2017
Europe,European Union (EU),Greece,581.0,Exports,2017
Europe,European Union (EU),Hungary,362.0,Exports,2017
Europe,European Union (EU),Ireland,11573.0,Exports,2017
Europe,European Union (EU),Italy,3043.0,Exports,2017
Europe,European Union (EU),Latvia,56.0,Exports,2017
Europe,European Union (EU),Lithuania,101.0,Exports,2017
Europe,European Union (EU),Luxembourg,2986.0,Exports,2017
Europe,European Union (EU),Malta,334.0,Exports,2017
Europe,European Union (EU),Netherlands,9740.0,Exports,2017
Europe,European Union (EU),Poland,1034.0,Exports,2017
Europe,European Union (EU),Portugal,426.0,Exports,2017
Europe,European Union (EU),Romania,289.0,Exports,2017
Europe,European Union (EU),Slovakia,206.0,Exports,2017
Europe,European Union (EU),Slovenia,0.0,Exports,2017
Europe,European Union (EU),Spain,2781.0,Exports,2017
Europe,European Union (EU),Sweden,2548.0,Exports,2017
Europe,European Free Trade Association (EFTA),Iceland,0.0,Exports,2017
Europe,European Free Trade Association (EFTA),Liechtenstein,82.0,Exports,2017
Europe,European Free Trade Association (EFTA),Norway,0.0,Exports,2017
Europe,European Free Trade Association (EFTA),Switzerland,8030.0,Exports,2017
Europe,Other Europe,Russia,1294.0,Exports,2017
Europe,Other Europe,Isle Of Man,236.0,Exports,2017
Europe,Other Europe,Turkey,747.0,Exports,2017
Europe,Other Europe,Rest Of Europe,1211.0,Exports,2017
Europe,Other Europe,Europe Unallocated,2710.0,Exports,2017
America,America,Brazil,535.0,Exports,2017
America,America,Canada,2305.0,Exports,2017
America,America,Mexico,362.0,Exports,2017
America,America,USA,38223.0,Exports,2017
America,America,Rest Of America,4221.0,Exports,2017
America,America,America Unallocated,243.0,Exports,2017
Asia,Asia,China,2183.0,Exports,2017
Asia,Asia,Hong Kong,1686.0,Exports,2017
Asia,Asia,India,908.0,Exports,2017
Asia,Asia,Indonesia,335.0,Exports,2017
Asia,Asia,Israel,581.0,Exports,2017
Asia,Asia,Japan,2941.0,Exports,2017
Asia,Asia,Malaysia,415.0,Exports,2017
Asia,Asia,Pakistan,196.0,Exports,2017
Asia,Asia,Philippines,131.0,Exports,2017
Asia,Asia,Saudi Arabia,3903.0,Exports,2017
Asia,Asia,Singapore,2031.0,Exports,2017
Asia,Asia,South Korea,1233.0,Exports,2017
Asia,Asia,Taiwan,476.0,Exports,2017
Asia,Asia,Thailand,287.0,Exports,2017
Asia,Asia,Rest Of Asia,7276.0,Exports,2017
Asia,Asia,Asia Unallocated,1416.0,Exports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,2194.0,Exports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,194.0,Exports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,57.0,Exports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Exports,2017
Africa,Africa,Nigeria,457.0,Exports,2017
Africa,Africa,South Africa,1133.0,Exports,2017
Africa,Africa,Rest Of Africa,3144.0,Exports,2017
Africa,Africa,Africa Unallocated,219.0,Exports,2017
Europe,European Union (EU),Austria,2017.0,Exports,2018
Europe,European Union (EU),Belgium,3271.0,Exports,2018
Europe,European Union (EU),Bulgaria,180.0,Exports,2018
Europe,European Union (EU),Croatia,162.0,Exports,2018
Europe,European Union (EU),Cyprus,411.0,Exports,2018
Europe,European Union (EU),Czechia,462.0,Exports,2018
Europe,European Union (EU),Denmark,2280.0,Exports,2018
Europe,European Union (EU),Estonia,59.0,Exports,2018
Europe,European Union (EU),Finland,849.0,Exports,2018
Europe,European Union (EU),France,8156.0,Exports,2018
Europe,European Union (EU),Germany,11165.0,Exports,2018
Europe,European Union (EU),Greece,606.0,Exports,2018
Europe,European Union (EU),Hungary,338.0,Exports,2018
Europe,European Union (EU),Ireland,14608.0,Exports,2018
Europe,European Union (EU),Italy,3357.0,Exports,2018
Europe,European Union (EU),Latvia,85.0,Exports,2018
Europe,European Union (EU),Lithuania,108.0,Exports,2018
Europe,European Union (EU),Luxembourg,3250.0,Exports,2018
Europe,European Union (EU),Malta,455.0,Exports,2018
Europe,European Union (EU),Netherlands,10993.0,Exports,2018
Europe,European Union (EU),Poland,1050.0,Exports,2018
Europe,European Union (EU),Portugal,626.0,Exports,2018
Europe,European Union (EU),Romania,395.0,Exports,2018
Europe,European Union (EU),Slovakia,248.0,Exports,2018
Europe,European Union (EU),Slovenia,213.0,Exports,2018
Europe,European Union (EU),Spain,3346.0,Exports,2018
Europe,European Union (EU),Sweden,3893.0,Exports,2018
Europe,European Free Trade Association (EFTA),Iceland,201.0,Exports,2018
Europe,European Free Trade Association (EFTA),Liechtenstein,93.0,Exports,2018
Europe,European Free Trade Association (EFTA),Norway,2031.0,Exports,2018
Europe,European Free Trade Association (EFTA),Switzerland,9598.0,Exports,2018
Europe,Other Europe,Russia,1256.0,Exports,2018
Europe,Other Europe,Isle Of Man,476.0,Exports,2018
Europe,Other Europe,Turkey,732.0,Exports,2018
Europe,Other Europe,Rest Of Europe,2295.0,Exports,2018
Europe,Other Europe,Europe Unallocated,2690.0,Exports,2018
America,America,Brazil,587.0,Exports,2018
America,America,Canada,2234.0,Exports,2018
America,America,Mexico,681.0,Exports,2018
America,America,USA,43373.0,Exports,2018
America,America,Rest Of America,4459.0,Exports,2018
America,America,America Unallocated,191.0,Exports,2018
Asia,Asia,China,2932.0,Exports,2018
Asia,Asia,Hong Kong,1504.0,Exports,2018
Asia,Asia,India,2098.0,Exports,2018
Asia,Asia,Indonesia,371.0,Exports,2018
Asia,Asia,Israel,855.0,Exports,2018
Asia,Asia,Japan,3221.0,Exports,2018
Asia,Asia,Malaysia,428.0,Exports,2018
Asia,Asia,Pakistan,174.0,Exports,2018
Asia,Asia,Philippines,146.0,Exports,2018
Asia,Asia,Saudi Arabia,3135.0,Exports,2018
Asia,Asia,Singapore,2248.0,Exports,2018
Asia,Asia,South Korea,1509.0,Exports,2018
Asia,Asia,Taiwan,824.0,Exports,2018
Asia,Asia,Thailand,330.0,Exports,2018
Asia,Asia,Rest Of Asia,6496.0,Exports,2018
Asia,Asia,Asia Unallocated,2446.0,Exports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,2963.0,Exports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,274.0,Exports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,87.0,Exports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,1.0,Exports,2018
Africa,Africa,Nigeria,536.0,Exports,2018
Africa,Africa,South Africa,1157.0,Exports,2018
Africa,Africa,Rest Of Africa,2594.0,Exports,2018
Africa,Africa,Africa Unallocated,269.0,Exports,2018
Europe,European Union (EU),Austria,1499.0,Exports,2019
Europe,European Union (EU),Belgium,3646.0,Exports,2019
Europe,European Union (EU),Bulgaria,158.0,Exports,2019
Europe,European Union (EU),Croatia,106.0,Exports,2019
Europe,European Union (EU),Cyprus,531.0,Exports,2019
Europe,European Union (EU),Czechia,561.0,Exports,2019
Europe,European Union (EU),Denmark,2550.0,Exports,2019
Europe,European Union (EU),Estonia,80.0,Exports,2019
Europe,European Union (EU),Finland,1199.0,Exports,2019
Europe,European Union (EU),France,8170.0,Exports,2019
Europe,European Union (EU),Germany,11003.0,Exports,2019
Europe,European Union (EU),Greece,568.0,Exports,2019
Europe,European Union (EU),Hungary,470.0,Exports,2019
Europe,European Union (EU),Ireland,13163.0,Exports,2019
Europe,European Union (EU),Italy,4131.0,Exports,2019
Europe,European Union (EU),Latvia,82.0,Exports,2019
Europe,European Union (EU),Lithuania,198.0,Exports,2019
Europe,European Union (EU),Luxembourg,4849.0,Exports,2019
Europe,European Union (EU),Malta,436.0,Exports,2019
Europe,European Union (EU),Netherlands,10809.0,Exports,2019
Europe,European Union (EU),Poland,1124.0,Exports,2019
Europe,European Union (EU),Portugal,627.0,Exports,2019
Europe,European Union (EU),Romania,373.0,Exports,2019
Europe,European Union (EU),Slovakia,297.0,Exports,2019
Europe,European Union (EU),Slovenia,182.0,Exports,2019
Europe,European Union (EU),Spain,3277.0,Exports,2019
Europe,European Union (EU),Sweden,3020.0,Exports,2019
Europe,European Free Trade Association (EFTA),Iceland,183.0,Exports,2019
Europe,European Free Trade Association (EFTA),Liechtenstein,87.0,Exports,2019
Europe,European Free Trade Association (EFTA),Norway,2348.0,Exports,2019
Europe,European Free Trade Association (EFTA),Switzerland,7881.0,Exports,2019
Europe,Other Europe,Russia,1228.0,Exports,2019
Europe,Other Europe,Isle Of Man,254.0,Exports,2019
Europe,Other Europe,Turkey,667.0,Exports,2019
Europe,Other Europe,Rest Of Europe,2290.0,Exports,2019
Europe,Other Europe,Europe Unallocated,2865.0,Exports,2019
America,America,Brazil,799.0,Exports,2019
America,America,Canada,2480.0,Exports,2019
America,America,Mexico,520.0,Exports,2019
America,America,USA,47841.0,Exports,2019
America,America,Rest Of America,4220.53441,Exports,2019
America,America,America Unallocated,183.0,Exports,2019
Asia,Asia,China,3104.0,Exports,2019
Asia,Asia,Hong Kong,1938.0,Exports,2019
Asia,Asia,India,2179.0,Exports,2019
Asia,Asia,Indonesia,331.0,Exports,2019
Asia,Asia,Israel,910.0,Exports,2019
Asia,Asia,Japan,3024.0,Exports,2019
Asia,Asia,Malaysia,519.0,Exports,2019
Asia,Asia,Pakistan,138.0,Exports,2019
Asia,Asia,Philippines,199.0,Exports,2019
Asia,Asia,Saudi Arabia,3448.0,Exports,2019
Asia,Asia,Singapore,3145.0,Exports,2019
Asia,Asia,South Korea,1404.0,Exports,2019
Asia,Asia,Taiwan,702.0,Exports,2019
Asia,Asia,Thailand,361.0,Exports,2019
Asia,Asia,Rest Of Asia,0.0,Exports,2019
Asia,Asia,Asia Unallocated,0.0,Exports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,2893.0,Exports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,237.0,Exports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,84.0,Exports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,2.0,Exports,2019
Africa,Africa,Nigeria,462.0,Exports,2019
Africa,Africa,South Africa,1263.0,Exports,2019
Africa,Africa,Rest Of Africa,3039.0,Exports,2019
